time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2020-08-03 10:30:00-04:00,sell,fill,25.0,ADBE,stock,,0.0,,448.260009765625,market,1,0.0
2020-08-03 10:30:00-04:00,sell,fill,114.0,AXON,stock,,0.0,,88.0199966430664,market,1,0.0
2020-08-03 10:30:00-04:00,sell,fill,124.0,AJG,stock,,0.0,,100.17577726122298,market,1,0.0
2020-08-03 10:30:00-04:00,buy,fill,156.0,AMD,stock,,0.0,,78.02999877929688,market,1,0.0
2020-08-03 10:30:00-04:00,sell,fill,120.0,APA,stock,,0.0,,13.644922085791077,market,1,0.0
2020-08-03 10:30:00-04:00,buy,fill,138.0,CHD,stock,,0.0,,87.14722000716466,market,1,0.0
2020-08-03 10:30:00-04:00,buy,fill,177.0,CINF,stock,,0.0,,68.75689313550741,market,1,0.0
2020-08-03 10:30:00-04:00,sell,fill,14.0,AAPL,stock,,0.0,,105.8614502635959,market,1,0.0
2020-08-03 10:30:00-04:00,sell,fill,68.0,CARR,stock,,0.0,,25.54097472607367,market,1,0.0
2020-08-03 10:30:00-04:00,buy,fill,148.0,BBY,stock,,0.0,,81.4558147296956,market,1,0.0
2020-08-03 10:30:00-04:00,sell,fill,1.0,AMZN,stock,,0.0,,155.0605010986328,market,1,0.0
2020-08-03 10:30:00-04:00,buy,fill,49.0,APD,stock,,0.0,,243.5693590968833,market,1,0.0
2020-08-03 10:30:00-04:00,buy,fill,147.0,CHRW,stock,,0.0,,81.98562602465196,market,1,0.0
2020-08-03 10:30:00-04:00,buy,fill,974.0,AES,stock,,0.0,,12.476215306956597,market,1,0.0
2020-09-01 10:30:00-04:00,sell,new,,APA,stock,,0.0,,,market,1,
2020-09-01 10:30:00-04:00,sell,new,,CHD,stock,,0.0,,,market,1,
2020-09-01 10:30:00-04:00,sell,new,,CINF,stock,,0.0,,,market,1,
2020-09-01 10:30:00-04:00,sell,new,,APD,stock,,0.0,,,market,1,
2020-09-01 10:30:00-04:00,sell,new,,CHRW,stock,,0.0,,,market,1,
